county,precinct,office,district,party,candidate,in_person_votes,absentee_votes,total_votes
Wheeler,Ericson,Northeast Community College Board,1,NON,Write-in,0,0,0
Wheeler,Bartlett,Northeast Community College Board,At-large,NON,Ted Hillman,82,15,97
Wheeler,Ericson,Northeast Community College Board,At-large,NON,Ted Hillman,35,5,40
Wheeler,Bartlett,Northeast Community College Board,At-large,NON,Jeffrey M. Scherer,74,15,89
Wheeler,Ericson,Northeast Community College Board,At-large,NON,Jeffrey M. Scherer,34,5,39
Wheeler,Bartlett,Northeast Community College Board,At-large,NON,Write-in,0,0,0
Wheeler,Ericson,Northeast Community College Board,At-large,NON,Write-in,0,0,0
Wheeler,Bartlett,Lower Loup Natural Resources District,2,NON,Alan D. Petersen,132,34,166
Wheeler,Ericson,Lower Loup Natural Resources District,2,NON,Alan D. Petersen,75,14,89
Wheeler,Bartlett,Lower Loup Natural Resources District,2,NON,Write-in,6,0,6
Wheeler,Ericson,Lower Loup Natural Resources District,2,NON,Write-in,7,0,7
Wheeler,Bartlett,Lower Loup Natural Resources District,6,NON,Write-in,46,8,54
Wheeler,Ericson,Lower Loup Natural Resources District,6,NON,Write-in,27,2,29
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,1,NON,Roy Stewart,35,13,48
Wheeler,Ericson,Upper Elkhorn Natural Resources District,1,NON,Roy Stewart,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,1,NON,Write-in,0,0,0
Wheeler,Ericson,Upper Elkhorn Natural Resources District,1,NON,Write-in,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,2,NON,Curtis Gotschall,38,13,51
Wheeler,Ericson,Upper Elkhorn Natural Resources District,2,NON,Curtis Gotschall,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,2,NON,Write-in,0,0,0
Wheeler,Ericson,Upper Elkhorn Natural Resources District,2,NON,Write-in,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,3,NON,Gene Kelly,36,17,53
Wheeler,Ericson,Upper Elkhorn Natural Resources District,3,NON,Gene Kelly,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,3,NON,Write-in,0,0,0
Wheeler,Ericson,Upper Elkhorn Natural Resources District,3,NON,Write-in,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,4,NON,Gary L. Bartak,41,17,58
Wheeler,Ericson,Upper Elkhorn Natural Resources District,4,NON,Gary L. Bartak,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,4,NON,Write-in,0,0,0
Wheeler,Ericson,Upper Elkhorn Natural Resources District,4,NON,Write-in,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,5,NON,Mark Carpenter,10,7,17
Wheeler,Ericson,Upper Elkhorn Natural Resources District,5,NON,Mark Carpenter,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,5,NON,Issac Wright,23,12,35
Wheeler,Ericson,Upper Elkhorn Natural Resources District,5,NON,Issac Wright,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,5,NON,Write-in,0,0,0
Wheeler,Ericson,Upper Elkhorn Natural Resources District,5,NON,Write-in,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,6,NON,Ted D. Hughes,32,16,48
Wheeler,Ericson,Upper Elkhorn Natural Resources District,6,NON,Ted D. Hughes,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,6,NON,Write-in,0,0,0
Wheeler,Ericson,Upper Elkhorn Natural Resources District,6,NON,Write-in,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,7,NON,Mark Schrage,19,10,29
Wheeler,Ericson,Upper Elkhorn Natural Resources District,7,NON,Mark Schrage,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,7,NON,Keith Heithoff,21,5,26
Wheeler,Ericson,Upper Elkhorn Natural Resources District,7,NON,Keith Heithoff,0,0,0
Wheeler,Bartlett,Upper Elkhorn Natural Resources District,7,NON,Write-in,0,0,0
Wheeler,Ericson,Upper Elkhorn Natural Resources District,7,NON,Write-in,0,0,0
Wheeler,Bartlett,Cornhusker Public Power District Board,1,NON,William J. Robinson,33,3,36
Wheeler,Ericson,Cornhusker Public Power District Board,1,NON,William J. Robinson,0,0,0
Wheeler,Bartlett,Cornhusker Public Power District Board,1,NON,Write-in,0,0,0
Wheeler,Ericson,Cornhusker Public Power District Board,1,NON,Write-in,0,0,0
Wheeler,Bartlett,Elkhorn Rural Public Power District,3,NON,Joseph G. Thiele,49,14,63
Wheeler,Ericson,Elkhorn Rural Public Power District,3,NON,Joseph G. Thiele,0,0,0
Wheeler,Bartlett,Elkhorn Rural Public Power District,3,NON,Write-in,0,0,0
Wheeler,Ericson,Elkhorn Rural Public Power District,3,NON,Write-in,0,0,0
Wheeler,Bartlett,Loup Valley Rural Public Power District,6-year term,NON,Larry O. White,44,16,60
Wheeler,Ericson,Loup Valley Rural Public Power District,6-year term,NON,Larry O. White,55,10,65
Wheeler,Bartlett,Loup Valley Rural Public Power District,6-year term,NON,Andrew Augustyn,35,12,47
Wheeler,Ericson,Loup Valley Rural Public Power District,6-year term,NON,Andrew Augustyn,40,4,44
Wheeler,Bartlett,Loup Valley Rural Public Power District,6-year term,NON,Michael Cruikshank,52,13,65
Wheeler,Ericson,Loup Valley Rural Public Power District,6-year term,NON,Michael Cruikshank,43,4,47
Wheeler,Bartlett,Loup Valley Rural Public Power District,6-year term,NON,Randy Wadas,45,16,61
Wheeler,Ericson,Loup Valley Rural Public Power District,6-year term,NON,Randy Wadas,51,11,62
Wheeler,Bartlett,Loup Valley Rural Public Power District,6-year term,NON,Write-in,1,0,1
Wheeler,Ericson,Loup Valley Rural Public Power District,6-year term,NON,Write-in,2,0,2
Wheeler,Bartlett,Loup Valley Rural Public Power District,4-year term,NON,Marvin A. Scheideler,25,8,33
Wheeler,Ericson,Loup Valley Rural Public Power District,4-year term,NON,Marvin A. Scheideler,27,4,31
Wheeler,Bartlett,Loup Valley Rural Public Power District,4-year term,NON,Ricky S. Koch,21,2,23
Wheeler,Ericson,Loup Valley Rural Public Power District,4-year term,NON,Ricky S. Koch,15,3,18
Wheeler,Bartlett,Loup Valley Rural Public Power District,4-year term,NON,Cody E. Freouf,40,11,51
Wheeler,Ericson,Loup Valley Rural Public Power District,4-year term,NON,Cody E. Freouf,54,8,62
Wheeler,Bartlett,Loup Valley Rural Public Power District,4-year term,NON,Write-in,1,0,1
Wheeler,Ericson,Loup Valley Rural Public Power District,4-year term,NON,Write-in,1,0,1
Wheeler,Bartlett,Educational Service Unit 8 Board,,NON,Tim Lambert,191,47,238
Wheeler,Ericson,Educational Service Unit 8 Board,,NON,Tim Lambert,75,12,87
Wheeler,Bartlett,Educational Service Unit 8 Board,,NON,Write-in,0,0,0
Wheeler,Ericson,Educational Service Unit 8 Board,,NON,Write-in,0,0,0
Wheeler,Bartlett,Wheeler Central School Board,2,NON,Dennis Derner,95,28,123
Wheeler,Ericson,Wheeler Central School Board,2,NON,Dennis Derner,44,6,50
Wheeler,Bartlett,Wheeler Central School Board,2,NON,Jerilee Wright,184,51,235
Wheeler,Ericson,Wheeler Central School Board,2,NON,Jerilee Wright,93,16,109
Wheeler,Bartlett,Wheeler Central School Board,2,NON,Write-in,14,3,17
Wheeler,Ericson,Wheeler Central School Board,2,NON,Write-in,12,1,13
Wheeler,Bartlett,Wheeler Central School Board,3,NON,Adam Freouf,193,53,246
Wheeler,Ericson,Wheeler Central School Board,3,NON,Adam Freouf,98,17,115
Wheeler,Bartlett,Wheeler Central School Board,3,NON,Write-in,3,1,4
Wheeler,Ericson,Wheeler Central School Board,3,NON,Write-in,3,1,4
Wheeler,Bartlett,Elgin Public School Board,4-year term,NON,Stanley Heithoff,4,0,4
Wheeler,Ericson,Elgin Public School Board,4-year term,NON,Stanley Heithoff,0,0,0
Wheeler,Bartlett,Elgin Public School Board,4-year term,NON,Steve Busteed,6,2,8
Wheeler,Ericson,Elgin Public School Board,4-year term,NON,Steve Busteed,0,0,0
Wheeler,Bartlett,Elgin Public School Board,4-year term,NON,Michael Braband,2,0,2
Wheeler,Ericson,Elgin Public School Board,4-year term,NON,Michael Braband,0,0,0
Wheeler,Bartlett,Elgin Public School Board,4-year term,NON,Douglas Jones,4,2,6
Wheeler,Ericson,Elgin Public School Board,4-year term,NON,Douglas Jones,0,0,0
Wheeler,Bartlett,Elgin Public School Board,4-year term,NON,Write-in,0,0,0
Wheeler,Ericson,Elgin Public School Board,4-year term,NON,Write-in,0,0,0
Wheeler,Bartlett,Elgin Public School Board,2-year term,NON,Lisa Welding,6,2,8
Wheeler,Ericson,Elgin Public School Board,2-year term,NON,Lisa Welding,0,0,0
Wheeler,Bartlett,Elgin Public School Board,2-year term,NON,Write-in,0,0,0
Wheeler,Ericson,Elgin Public School Board,2-year term,NON,Write-in,0,0,0
Wheeler,Bartlett,Clearwater School Board,4-year term,NON,Patti Behnk,2,0,2
Wheeler,Ericson,Clearwater School Board,4-year term,NON,Patti Behnk,0,0,0
Wheeler,Bartlett,Clearwater School Board,4-year term,NON,Jarrod Long,0,0,0
Wheeler,Ericson,Clearwater School Board,4-year term,NON,Jarrod Long,0,0,0
Wheeler,Bartlett,Clearwater School Board,4-year term,NON,Marty J. Kerkman,2,0,2
Wheeler,Ericson,Clearwater School Board,4-year term,NON,Marty J. Kerkman,0,0,0
Wheeler,Bartlett,Clearwater School Board,4-year term,NON,Michael Klabenes,0,0,0
Wheeler,Ericson,Clearwater School Board,4-year term,NON,Michael Klabenes,0,0,0
Wheeler,Bartlett,Clearwater School Board,4-year term,NON,Amy Thiele,2,0,2
Wheeler,Ericson,Clearwater School Board,4-year term,NON,Amy Thiele,0,0,0
Wheeler,Bartlett,Clearwater School Board,4-year term,NON,Brian King,0,0,0
Wheeler,Ericson,Clearwater School Board,4-year term,NON,Brian King,0,0,0
Wheeler,Bartlett,Clearwater School Board,4-year term,NON,Write-in,0,0,0
Wheeler,Ericson,Clearwater School Board,4-year term,NON,Write-in,0,0,0
Wheeler,Bartlett,Clearwater School Board,2-year term,NON,Tom Thiele,2,0,2
Wheeler,Ericson,Clearwater School Board,2-year term,NON,Tom Thiele,0,0,0
Wheeler,Bartlett,Clearwater School Board,2-year term,NON,Write-in,0,0,0
Wheeler,Ericson,Clearwater School Board,2-year term,NON,Write-in,0,0,0
Wheeler,Bartlett,Ewing School Board,,NON,Pete Funk,7,6,13
Wheeler,Ericson,Ewing School Board,,NON,Pete Funk,0,0,0
Wheeler,Bartlett,Ewing School Board,,NON,LeRoy M. Napier,3,4,7
Wheeler,Ericson,Ewing School Board,,NON,LeRoy M. Napier,0,0,0
Wheeler,Bartlett,Ewing School Board,,NON,Mark P. Ramold,7,4,11
Wheeler,Ericson,Ewing School Board,,NON,Mark P. Ramold,0,0,0
Wheeler,Bartlett,Ewing School Board,,NON,Ed Nordby,8,8,16
Wheeler,Ericson,Ewing School Board,,NON,Ed Nordby,0,0,0
Wheeler,Bartlett,Ewing School Board,,NON,Write-in,0,0,0
Wheeler,Ericson,Ewing School Board,,NON,Write-in,0,0,0
Wheeler,Bartlett,Chambers School Board,4-year term,NON,Lenone F. Koenig ,0,1,1
Wheeler,Ericson,Chambers School Board,4-year term,NON,Lenone F. Koenig ,0,0,0
Wheeler,Bartlett,Chambers School Board,4-year term,NON,Brian McManigal,0,1,1
Wheeler,Ericson,Chambers School Board,4-year term,NON,Brian McManigal,0,0,0
Wheeler,Bartlett,Chambers School Board,4-year term,NON,Write-in,0,0,0
Wheeler,Ericson,Chambers School Board,4-year term,NON,Write-in,0,0,0
Wheeler,Bartlett,Chambers School Board,2-year term,NON,Matt Ehlers,0,1,1
Wheeler,Ericson,Chambers School Board,2-year term,NON,Matt Ehlers,0,0,0
Wheeler,Bartlett,Chambers School Board,2-year term,NON,Write-in,0,0,0
Wheeler,Ericson,Chambers School Board,2-year term,NON,Write-in,0,0,0
Wheeler,Bartlett,Bartlett Village Board,,NON,Letti Nichols ,43,15,58
Wheeler,Ericson,Bartlett Village Board,,NON,Letti Nichols ,0,0,0
Wheeler,Bartlett,Bartlett Village Board,,NON,Paul Nordhues ,46,17,63
Wheeler,Ericson,Bartlett Village Board,,NON,Paul Nordhues ,0,0,0
Wheeler,Bartlett,Bartlett Village Board,,NON,Write-in,0,0,0
Wheeler,Ericson,Bartlett Village Board,,NON,Write-in,0,0,0
Wheeler,Bartlett,Ericson Village Board,,NON,Duane Waddle ,0,0,0
Wheeler,Ericson,Ericson Village Board,,NON,Duane Waddle ,26,5,31
Wheeler,Bartlett,Ericson Village Board,,NON,Jerry B. Horwart ,0,0,0
Wheeler,Ericson,Ericson Village Board,,NON,Jerry B. Horwart ,28,2,30
Wheeler,Bartlett,Ericson Village Board,,NON,William Curry ,0,0,0
Wheeler,Ericson,Ericson Village Board,,NON,William Curry ,43,6,49
Wheeler,Bartlett,Ericson Village Board,,NON,Write-in,0,0,0
Wheeler,Ericson,Ericson Village Board,,NON,Write-in,2,3,5
