county,precinct,office,district,party,candidate,election_day,votes,early_votes
Douglas,07-06,Ballots Cast,,,,646,1057,411
Douglas,07-07,Ballots Cast,,,,730,1055,325
Douglas,07-08,Ballots Cast,,,,844,1123,279
Douglas,07-09,Ballots Cast,,,,921,1323,402
Douglas,07-10,Ballots Cast,,,,927,1382,455
Douglas,07-11,Ballots Cast,,,,882,1248,366
Douglas,07-12,Ballots Cast,,,,755,1145,390
Douglas,07-13,Ballots Cast,,,,905,1357,452
Douglas,07-14,Ballots Cast,,,,454,667,213
Douglas,07-15,Ballots Cast,,,,695,1034,339
Douglas,07-16,Ballots Cast,,,,730,1103,373
Douglas,07-17,Ballots Cast,,,,783,1229,446
Douglas,07-18,Ballots Cast,,,,860,1298,438
Douglas,07-19,Ballots Cast,,,,769,1269,500
Douglas,07-20,Ballots Cast,,,,757,1402,645
Douglas,07-21,Ballots Cast,,,,825,1433,608
Douglas,07-22,Ballots Cast,,,,"1,035",1653,618
Douglas,07-23,Ballots Cast,,,,704,990,286
Douglas,07-24,Ballots Cast,,,,804,1110,306
Douglas,07-25,Ballots Cast,,,,816,1267,451
Douglas,07-26,Ballots Cast,,,,499,808,309
Douglas,07-27,Ballots Cast,,,,850,1250,400
Douglas,07-28,Ballots Cast,,,,473,711,238
Douglas,07-29,Ballots Cast,,,,744,1056,312
Douglas,07-30,Ballots Cast,,,,730,1119,389
Douglas,07-31,Ballots Cast,,,,696,1102,406
Douglas,07-32,Ballots Cast,,,,777,1248,471
Douglas,07-33,Ballots Cast,,,,557,842,285
Douglas,07-34,Ballots Cast,,,,565,1050,485
Douglas,08-01,Ballots Cast,,,,420,625,205
Douglas,08-02,Ballots Cast,,,,287,416,129
Douglas,08-03,Ballots Cast,,,,318,409,91
Douglas,08-04,Ballots Cast,,,,428,615,187
Douglas,08-05,Ballots Cast,,,,361,511,150
Douglas,08-06,Ballots Cast,,,,297,424,127
Douglas,08-07,Ballots Cast,,,,518,728,210
Douglas,08-08,Ballots Cast,,,,216,373,157
Douglas,08-09,Ballots Cast,,,,350,675,325
Douglas,08-10,Ballots Cast,,,,559,877,318
Douglas,08-11,Ballots Cast,,,,"1,166",1762,596
Douglas,08-12,Ballots Cast,,,,"1,004",1471,467
Douglas,08-13,Ballots Cast,,,,"1,352",2084,732
Douglas,08-14,Ballots Cast,,,,658,902,244
Douglas,08-15,Ballots Cast,,,,656,1195,539
Douglas,08-16,Ballots Cast,,,,"1,224",1877,653
Douglas,08-17,Ballots Cast,,,,814,1205,391
Douglas,08-18,Ballots Cast,,,,352,533,181
Douglas,08-19,Ballots Cast,,,,959,1458,499
Douglas,08-20,Ballots Cast,,,,846,1162,316
Douglas,08-23,Ballots Cast,,,,527,802,275
Douglas,08-24,Ballots Cast,,,,561,1008,447
Douglas,08-27,Ballots Cast,,,,103,110,7
Douglas,08-31,Ballots Cast,,,,538,788,250
Douglas,08-35,Ballots Cast,,,,371,492,121
Douglas,08-36,Ballots Cast,,,,664,1045,381
Douglas,08-37,Ballots Cast,,,,699,1153,454
Douglas,08-39,Ballots Cast,,,,908,1355,447
Douglas,08-40,Ballots Cast,,,,969,1441,472
Douglas,08-41,Ballots Cast,,,,745,1138,393
Douglas,08-42,Ballots Cast,,,,"1,044",1836,792
Douglas,08-43,Ballots Cast,,,,778,1294,516
Douglas,08-44,Ballots Cast,,,,752,1103,351
Douglas,08-45,Ballots Cast,,,,824,1391,567
Douglas,08-46,Ballots Cast,,,,"1,153",1728,575
Douglas,08-47,Ballots Cast,,,,"1,345",2084,739
Douglas,08-48,Ballots Cast,,,,605,1054,449
Douglas,08-49,Ballots Cast,,,,684,1036,352
Douglas,08-50,Ballots Cast,,,,837,1332,495
Douglas,08-51,Ballots Cast,,,,"1,205",1848,643
Douglas,08-52,Ballots Cast,,,,794,1277,483
Douglas,08-53,Ballots Cast,,,,760,1160,400
Douglas,08-54,Ballots Cast,,,,674,1047,373
Douglas,08-55,Ballots Cast,,,,734,1138,404
Douglas,01-01,President,,Republican,Donald J. Trump,385,504,119
Douglas,01-02,President,,Republican,Donald J. Trump,263,355,92
Douglas,01-03,President,,Republican,Donald J. Trump,348,575,227
Douglas,01-04,President,,Republican,Donald J. Trump,171,292,121
Douglas,01-05,President,,Republican,Donald J. Trump,262,400,138
Douglas,01-06,President,,Republican,Donald J. Trump,220,305,85
Douglas,01-07,President,,Republican,Donald J. Trump,252,318,66
Douglas,01-08,President,,Republican,Donald J. Trump,267,362,95
Douglas,01-09,President,,Republican,Donald J. Trump,217,296,79
Douglas,01-10,President,,Republican,Donald J. Trump,217,275,58
Douglas,01-11,President,,Republican,Donald J. Trump,254,353,99
Douglas,01-12,President,,Republican,Donald J. Trump,36,50,14
Douglas,01-13,President,,Republican,Donald J. Trump,422,609,187
Douglas,01-14,President,,Republican,Donald J. Trump,293,408,115
Douglas,01-15,President,,Republican,Donald J. Trump,343,495,152
Douglas,01-16,President,,Republican,Donald J. Trump,220,322,102
Douglas,01-17,President,,Republican,Donald J. Trump,194,256,62
Douglas,01-18,President,,Republican,Donald J. Trump,347,476,129
Douglas,01-19,President,,Republican,Donald J. Trump,341,486,145
Douglas,01-20,President,,Republican,Donald J. Trump,321,436,115
Douglas,01-21,President,,Republican,Donald J. Trump,309,447,138
Douglas,01-22,President,,Republican,Donald J. Trump,297,461,164
Douglas,01-23,President,,Republican,Donald J. Trump,266,367,101
Douglas,01-24,President,,Republican,Donald J. Trump,241,355,114
Douglas,01-25,President,,Republican,Donald J. Trump,208,282,74
Douglas,02-01,President,,Republican,Donald J. Trump,207,262,55
Douglas,02-02,President,,Republican,Donald J. Trump,174,212,38
Douglas,02-03,President,,Republican,Donald J. Trump,152,273,121
Douglas,02-04,President,,Republican,Donald J. Trump,78,112,34
Douglas,02-05,President,,Republican,Donald J. Trump,65,88,23
Douglas,02-06,President,,Republican,Donald J. Trump,82,115,33
Douglas,02-07,President,,Republican,Donald J. Trump,57,90,33
Douglas,02-08,President,,Republican,Donald J. Trump,55,78,23
Douglas,02-09,President,,Republican,Donald J. Trump,24,30,6
Douglas,02-10,President,,Republican,Donald J. Trump,43,60,17
Douglas,02-11,President,,Republican,Donald J. Trump,92,136,44
Douglas,02-12,President,,Republican,Donald J. Trump,152,205,53
Douglas,02-13,President,,Republican,Donald J. Trump,25,36,11
Douglas,02-14,President,,Republican,Donald J. Trump,170,207,37
Douglas,02-15,President,,Republican,Donald J. Trump,50,65,15
Douglas,02-16,President,,Republican,Donald J. Trump,53,75,22
Douglas,02-17,President,,Republican,Donald J. Trump,124,169,45
Douglas,02-18,President,,Republican,Donald J. Trump,37,80,43
Douglas,02-19,President,,Republican,Donald J. Trump,75,96,21
Douglas,02-20,President,,Republican,Donald J. Trump,38,55,17
Douglas,02-21,President,,Republican,Donald J. Trump,24,36,12
Douglas,02-22,President,,Republican,Donald J. Trump,19,28,9
Douglas,02-23,President,,Republican,Donald J. Trump,175,228,53
Douglas,03-01,President,,Republican,Donald J. Trump,16,17,1
Douglas,03-02,President,,Republican,Donald J. Trump,158,218,60
Douglas,03-03,President,,Republican,Donald J. Trump,182,236,54
Douglas,03-04,President,,Republican,Donald J. Trump,231,301,70
Douglas,03-05,President,,Republican,Donald J. Trump,188,243,55
Douglas,03-06,President,,Republican,Donald J. Trump,162,203,41
Douglas,03-07,President,,Republican,Donald J. Trump,207,289,82
Douglas,03-08,President,,Republican,Donald J. Trump,264,370,106
Douglas,03-09,President,,Republican,Donald J. Trump,324,437,113
Douglas,03-10,President,,Republican,Donald J. Trump,150,209,59
Douglas,03-11,President,,Republican,Donald J. Trump,204,258,54
Douglas,03-12,President,,Republican,Donald J. Trump,247,341,94
Douglas,03-13,President,,Republican,Donald J. Trump,232,299,67
Douglas,03-14,President,,Republican,Donald J. Trump,335,474,139
Douglas,03-15,President,,Republican,Donald J. Trump,349,495,146
Douglas,03-16,President,,Republican,Donald J. Trump,381,536,155
Douglas,03-17,President,,Republican,Donald J. Trump,328,441,113
Douglas,03-18,President,,Republican,Donald J. Trump,142,173,31
Douglas,03-19,President,,Republican,Donald J. Trump,203,274,71
Douglas,03-20,President,,Republican,Donald J. Trump,301,397,96
Douglas,03-21,President,,Republican,Donald J. Trump,208,306,98
Douglas,04-01,President,,Republican,Donald J. Trump,169,211,42
Douglas,04-02,President,,Republican,Donald J. Trump,218,312,94
Douglas,04-03,President,,Republican,Donald J. Trump,131,181,50
Douglas,04-04,President,,Republican,Donald J. Trump,294,382,88
Douglas,04-05,President,,Republican,Donald J. Trump,499,653,154
Douglas,04-06,President,,Republican,Donald J. Trump,276,368,92
Douglas,04-07,President,,Republican,Donald J. Trump,235,333,98
Douglas,04-08,President,,Republican,Donald J. Trump,346,467,121
Douglas,04-09,President,,Republican,Donald J. Trump,121,178,57
Douglas,04-10,President,,Republican,Donald J. Trump,139,205,66
Douglas,04-11,President,,Republican,Donald J. Trump,328,443,115
Douglas,04-12,President,,Republican,Donald J. Trump,408,558,150
Douglas,04-13,President,,Republican,Donald J. Trump,262,357,95
Douglas,04-14,President,,Republican,Donald J. Trump,88,139,51
Douglas,04-15,President,,Republican,Donald J. Trump,229,279,50
Douglas,04-16,President,,Republican,Donald J. Trump,310,409,99
Douglas,04-17,President,,Republican,Donald J. Trump,193,271,78
Douglas,04-18,President,,Republican,Donald J. Trump,120,153,33
Douglas,05-01,President,,Republican,Donald J. Trump,416,566,150
Douglas,05-02,President,,Republican,Donald J. Trump,399,575,176
Douglas,05-03,President,,Republican,Donald J. Trump,512,701,189
Douglas,05-04,President,,Republican,Donald J. Trump,316,412,96
Douglas,05-05,President,,Republican,Donald J. Trump,294,399,105
Douglas,05-06,President,,Republican,Donald J. Trump,286,408,122
Douglas,05-07,President,,Republican,Donald J. Trump,548,720,172
Douglas,05-08,President,,Republican,Donald J. Trump,330,429,99
Douglas,05-09,President,,Republican,Donald J. Trump,489,706,217
Douglas,05-10,President,,Republican,Donald J. Trump,399,558,159
Douglas,05-11,President,,Republican,Donald J. Trump,502,689,187
Douglas,05-12,President,,Republican,Donald J. Trump,460,633,173
Douglas,05-13,President,,Republican,Donald J. Trump,656,964,308
Douglas,05-14,President,,Republican,Donald J. Trump,539,764,225
Douglas,05-15,President,,Republican,Donald J. Trump,457,685,228
Douglas,05-16,President,,Republican,Donald J. Trump,471,659,188
Douglas,05-17,President,,Republican,Donald J. Trump,396,577,181
Douglas,05-18,President,,Republican,Donald J. Trump,553,732,179
Douglas,05-19,President,,Republican,Donald J. Trump,401,581,180
Douglas,05-20,President,,Republican,Donald J. Trump,504,750,246
Douglas,05-21,President,,Republican,Donald J. Trump,465,646,181
Douglas,05-22,President,,Republican,Donald J. Trump,613,818,205
Douglas,05-23,President,,Republican,Donald J. Trump,399,556,157
Douglas,05-24,President,,Republican,Donald J. Trump,479,603,124
Douglas,05-25,President,,Republican,Donald J. Trump,477,708,231
Douglas,05-26,President,,Republican,Donald J. Trump,318,425,107
Douglas,05-27,President,,Republican,Donald J. Trump,360,513,153
Douglas,05-28,President,,Republican,Donald J. Trump,405,552,147
Douglas,05-29,President,,Republican,Donald J. Trump,359,493,134
Douglas,05-30,President,,Republican,Donald J. Trump,609,913,304
Douglas,05-31,President,,Republican,Donald J. Trump,310,493,183
Douglas,05-32,President,,Republican,Donald J. Trump,100,169,69
Douglas,05-33,President,,Republican,Donald J. Trump,135,169,34
Douglas,06-01,President,,Republican,Donald J. Trump,321,469,148
Douglas,06-02,President,,Republican,Donald J. Trump,349,608,259
Douglas,06-03,President,,Republican,Donald J. Trump,380,592,212
Douglas,06-04,President,,Republican,Donald J. Trump,417,583,166
Douglas,06-05,President,,Republican,Donald J. Trump,213,321,108
Douglas,06-06,President,,Republican,Donald J. Trump,356,450,94
Douglas,06-07,President,,Republican,Donald J. Trump,305,461,156
Douglas,06-08,President,,Republican,Donald J. Trump,427,658,231
Douglas,06-09,President,,Republican,Donald J. Trump,361,645,284
Douglas,06-10,President,,Republican,Donald J. Trump,505,694,189
Douglas,06-11,President,,Republican,Donald J. Trump,535,704,169
Douglas,06-12,President,,Republican,Donald J. Trump,399,504,105
Douglas,06-13,President,,Republican,Donald J. Trump,618,810,192
Douglas,06-14,President,,Republican,Donald J. Trump,544,739,195
Douglas,06-15,President,,Republican,Donald J. Trump,439,608,169
Douglas,06-16,President,,Republican,Donald J. Trump,466,746,280
Douglas,06-17,President,,Republican,Donald J. Trump,435,600,165
Douglas,06-18,President,,Republican,Donald J. Trump,101,165,64
Douglas,06-19,President,,Republican,Donald J. Trump,535,795,260
Douglas,06-20,President,,Republican,Donald J. Trump,527,714,187
Douglas,06-21,President,,Republican,Donald J. Trump,529,819,290
Douglas,06-22,President,,Republican,Donald J. Trump,408,676,268
Douglas,06-23,President,,Republican,Donald J. Trump,481,603,122
Douglas,06-24,President,,Republican,Donald J. Trump,586,762,176
Douglas,06-25,President,,Republican,Donald J. Trump,304,474,170
Douglas,06-26,President,,Republican,Donald J. Trump,267,491,224
Douglas,06-27,President,,Republican,Donald J. Trump,360,512,152
Douglas,06-28,President,,Republican,Donald J. Trump,482,692,210
Douglas,06-29,President,,Republican,Donald J. Trump,446,627,181
Douglas,06-30,President,,Republican,Donald J. Trump,226,425,199
Douglas,07-01,President,,Republican,Donald J. Trump,361,487,126
Douglas,07-02,President,,Republican,Donald J. Trump,378,578,200
Douglas,07-03,President,,Republican,Donald J. Trump,390,513,123
Douglas,07-04,President,,Republican,Donald J. Trump,463,587,124
Douglas,07-05,President,,Republican,Donald J. Trump,405,535,130
Douglas,07-06,President,,Republican,Donald J. Trump,354,515,161
Douglas,07-07,President,,Republican,Donald J. Trump,383,495,112
Douglas,07-08,President,,Republican,Donald J. Trump,375,466,91
Douglas,07-09,President,,Republican,Donald J. Trump,387,538,151
Douglas,07-10,President,,Republican,Donald J. Trump,428,599,171
Douglas,07-11,President,,Republican,Donald J. Trump,415,545,130
Douglas,07-12,President,,Republican,Donald J. Trump,393,556,163
Douglas,07-13,President,,Republican,Donald J. Trump,570,772,202
Douglas,07-14,President,,Republican,Donald J. Trump,290,397,107
Douglas,07-15,President,,Republican,Donald J. Trump,285,393,108
Douglas,07-16,President,,Republican,Donald J. Trump,410,563,153
Douglas,07-17,President,,Republican,Donald J. Trump,490,683,193
Douglas,07-18,President,,Republican,Donald J. Trump,346,509,163
Douglas,07-19,President,,Republican,Donald J. Trump,316,479,163
Douglas,07-20,President,,Republican,Donald J. Trump,438,734,296
Douglas,07-21,President,,Republican,Donald J. Trump,526,835,309
Douglas,07-22,President,,Republican,Donald J. Trump,600,878,278
Douglas,07-23,President,,Republican,Donald J. Trump,335,443,108
Douglas,07-24,President,,Republican,Donald J. Trump,404,518,114
Douglas,07-25,President,,Republican,Donald J. Trump,375,545,170
Douglas,07-26,President,,Republican,Donald J. Trump,301,432,131
Douglas,07-27,President,,Republican,Donald J. Trump,486,654,168
Douglas,07-28,President,,Republican,Donald J. Trump,269,376,107
Douglas,07-29,President,,Republican,Donald J. Trump,383,515,132
Douglas,07-30,President,,Republican,Donald J. Trump,408,574,166
Douglas,07-31,President,,Republican,Donald J. Trump,413,605,192
Douglas,07-32,President,,Republican,Donald J. Trump,482,685,203
Douglas,07-33,President,,Republican,Donald J. Trump,356,484,128
Douglas,07-34,President,,Republican,Donald J. Trump,339,585,246
Douglas,08-01,President,,Republican,Donald J. Trump,205,291,86
Douglas,08-02,President,,Republican,Donald J. Trump,142,188,46
Douglas,08-03,President,,Republican,Donald J. Trump,171,217,46
Douglas,08-04,President,,Republican,Donald J. Trump,267,341,74
Douglas,08-05,President,,Republican,Donald J. Trump,186,235,49
Douglas,08-06,President,,Republican,Donald J. Trump,171,212,41
Douglas,08-07,President,,Republican,Donald J. Trump,320,407,87
Douglas,08-08,President,,Republican,Donald J. Trump,147,222,75
Douglas,08-09,President,,Republican,Donald J. Trump,258,426,168
Douglas,08-10,President,,Republican,Donald J. Trump,263,389,126
Douglas,08-11,President,,Republican,Donald J. Trump,458,627,169
Douglas,08-12,President,,Republican,Donald J. Trump,472,664,192
Douglas,08-13,President,,Republican,Donald J. Trump,950,1363,413
Douglas,08-14,President,,Republican,Donald J. Trump,448,585,137
Douglas,08-15,President,,Republican,Donald J. Trump,399,678,279
Douglas,08-16,President,,Republican,Donald J. Trump,767,1116,349
Douglas,08-17,President,,Republican,Donald J. Trump,459,633,174
Douglas,08-18,President,,Republican,Donald J. Trump,194,272,78
Douglas,08-19,President,,Republican,Donald J. Trump,556,765,209
Douglas,08-20,President,,Republican,Donald J. Trump,452,587,135
Douglas,08-23,President,,Republican,Donald J. Trump,295,405,110
Douglas,08-24,President,,Republican,Donald J. Trump,357,602,245
Douglas,08-27,President,,Republican,Donald J. Trump,51,54,3
Douglas,08-31,President,,Republican,Donald J. Trump,292,407,115
Douglas,08-35,President,,Republican,Donald J. Trump,204,250,46
Douglas,08-36,President,,Republican,Donald J. Trump,398,557,159
Douglas,08-37,President,,Republican,Donald J. Trump,409,613,204
Douglas,08-39,President,,Republican,Donald J. Trump,642,926,284
Douglas,08-40,President,,Republican,Donald J. Trump,705,986,281
Douglas,08-41,President,,Republican,Donald J. Trump,544,791,247
Douglas,08-42,President,,Republican,Donald J. Trump,677,1086,409
Douglas,08-43,President,,Republican,Donald J. Trump,506,762,256
Douglas,08-44,President,,Republican,Donald J. Trump,426,594,168
Douglas,08-45,President,,Republican,Donald J. Trump,581,878,297
Douglas,08-46,President,,Republican,Donald J. Trump,670,926,256
Douglas,08-47,President,,Republican,Donald J. Trump,754,1090,336
Douglas,08-48,President,,Republican,Donald J. Trump,462,756,294
Douglas,08-49,President,,Republican,Donald J. Trump,430,628,198
Douglas,08-50,President,,Republican,Donald J. Trump,490,697,207
Douglas,08-51,President,,Republican,Donald J. Trump,685,974,289
Douglas,08-52,President,,Republican,Donald J. Trump,381,579,198
Douglas,08-53,President,,Republican,Donald J. Trump,465,657,192
Douglas,08-54,President,,Republican,Donald J. Trump,482,668,186
Douglas,08-55,President,,Republican,Donald J. Trump,493,750,257
Douglas,01-01,President,,Democratic,Hillary Clinton,410,649,239
Douglas,01-02,President,,Democratic,Hillary Clinton,194,362,168
Douglas,01-03,President,,Democratic,Hillary Clinton,394,832,438
Douglas,01-04,President,,Democratic,Hillary Clinton,413,746,333
Douglas,01-05,President,,Democratic,Hillary Clinton,359,624,265
Douglas,01-06,President,,Democratic,Hillary Clinton,486,748,262
Douglas,01-07,President,,Democratic,Hillary Clinton,499,808,309
Douglas,01-08,President,,Democratic,Hillary Clinton,468,811,343
Douglas,01-09,President,,Democratic,Hillary Clinton,311,443,132
Douglas,01-10,President,,Democratic,Hillary Clinton,192,288,96
Douglas,01-11,President,,Democratic,Hillary Clinton,322,500,178
Douglas,01-12,President,,Democratic,Hillary Clinton,24,44,20
Douglas,01-13,President,,Democratic,Hillary Clinton,408,653,245
Douglas,01-14,President,,Democratic,Hillary Clinton,591,1003,412
Douglas,01-15,President,,Democratic,Hillary Clinton,472,767,295
Douglas,01-16,President,,Democratic,Hillary Clinton,276,457,181
Douglas,01-17,President,,Democratic,Hillary Clinton,487,781,294
Douglas,01-18,President,,Democratic,Hillary Clinton,522,982,460
Douglas,01-19,President,,Democratic,Hillary Clinton,363,658,295
Douglas,01-20,President,,Democratic,Hillary Clinton,318,515,197
Douglas,01-21,President,,Democratic,Hillary Clinton,360,628,268
Douglas,01-22,President,,Democratic,Hillary Clinton,273,475,202
Douglas,01-23,President,,Democratic,Hillary Clinton,347,567,220
